Reference #,Title,Agency,Contract Value
DHW0384125,Department of Education - North Perth Primary School - Relocation of 1 x GLA Transportable Classroom including associated works,Department of Housing and Works,"$ 87,252.00 "
DPLH401725,Soil Validation and Monitoring at Former Gnowangerup Agricultural College,"Department of Planning, Lands and Heritage","$ 168,642.00 "
DPIRD2025220,"Supply, Delivery, Installation and System Training of One (1) MiSeq i100 Series High Throughput Sequencer",Department of Primary Industries and Regional Development,"$ 186,057.00 "
DOT417525,Principal Environmental Officer – Marine Projects – Category C,Department of Transport and Major Infrastructure,"$ 399,488.00 "
DOT413625,Westport Material Sourcing Category Management,Department of Transport and Major Infrastructure,"$ 450,450.00 "
DOT409721c044,"Concept designs for an alternative to the Dundas Road Primary Route between Kalamunda Road and High Wycombe Station, and the Maida Vale Road Secondary Route",Department of Transport and Major Infrastructure,"$ 274,588.00 "
EMHS202515293,Royal Perth Hospital (RPH) R Block Level 5 Roof Membrane Replacement,East Metropolitan Health Service,"$ 407,552.00 "
EMHS202514432,Medical Transcription Services to Royal Perth Bentley Group,East Metropolitan Health Service,"$ 1,072,800.00 "
LW25199,Temporary Personnel Services - Workplace Services Officer,Lotterywest,"$ 73,028.00 "
MRWA0349240230,Provision of Temporary Personnel - RMO - Delivery Planning & Contracts - Contracts Administration Support,Main Roads Western Australia,"$ 58,461.00 "
NMHS202515121,Purchase and Supply of a Stereotactic Radiosurgery Quality Assurance (QA) Phantom,North Metropolitan Health Service,"$ 192,203.00 "
PROMSA25165,Wooroloo Prison Farm - Keywatcher Upgrade,Programmed Facility Management,"$ 152,849.00 "
PROMSA25163,Plasterglass Ceiling Remediation Program - Kapinara Primary School,Programmed Facility Management,"$ 247,747.00 "
F2400604,Beer and Cider for Nominated VenuesWest Venues,VenuesWest,"$ 750,000.00 "
WACHS202514836,Supply and Installation of a Paging System with Support and Maintenance at Broome Health Campus,WA Country Health Service,"$ 81,420.00 "
WAPOL12325,"Delivery of Case Management Model for Health, Welfare and Safety Division",Western Australia Police Force,"$ 44,000.00 "
HSS202515339,Services of an OutSystems Senior Developer (ASK),Health Support Services,"$ 198,616.00 "
RFQ14102025ACT,Project Management Consultant (Marketing),Arts and Culture Trust,"$ 82,500.00 "
DOC202436542,Allied Health and Paediatric Service Expansion for South Metropolitan and Peel Region,Department of Communities,"$ 1,500,000.00 "
DLGSCC2538,Electricity Supply for Perth Concert Hall,"Department of Creative Industries, Tourism and Sport","$ 100,000.00 "
DoH202515285,Consultancy services to develop a Financial Cost Model for a shift-based (dispatch) operating model for non-emergency patient transport,Department of Health (Royal Street),"$ 132,000.00 "
DHW0472025,Department of Education - Armadale Education Support Centre - Installation of 1 x GLA Modular Classroom with Associated Deck and Ramp,Department of Housing and Works,"$ 113,751.00 "
DHW0439725,Department of Education - WA College Cunderdin - Painting Works,Department of Housing and Works,"$ 48,250.00 "
DHW0384725,Department of Education - Tuart Hill Primary School - Relocation of 1 x GLA Transportable Classrooms including associated works,Department of Housing and Works,"$ 90,450.00 "
DPIRD2025269,Senior Database Administrator - Temporary Personnel,Department of Primary Industries and Regional Development,"$ 125,054.00 "
EMHS202515488,Mount Lawley Hospital Commissioning & Transition – Program Build Support,East Metropolitan Health Service,"$ 185,955.00 "
EMHS202515011,Consultancy Services - AHS HV Electrical upgrades,East Metropolitan Health Service,"$ 444,952.00 "
MRWA010925,Supply of Workbench Renewal - Kimberley Region,Main Roads Western Australia,"$ 50,424.00 "
RWT00825,Provision of Cleaning Services,Racing and Wagering Western Australia,"$ 1,083,537.00 "
DBCARIAQ2726,Stakeholder Engagement Services,Rottnest Island Authority,"$ 136,730.00 "
20251701WAM,Reconstructing the demographic history of Black Cockatoos in southwest Western Australia using whole genome sequencing,Western Australian Museum,"$ 191,510.00 "
ED252534,Electricity - Gooseberry Hill Primary School (CUAELC2012),Department of Education,"$ 77,632.00 "
DFES243925,Supply and Delivery of a 15 Inch Woodchipper,Department of Fire and Emergency Services,"$ 167,283.00 "
DFES239025,Provision of Preferred Mental Health Providers,Department of Fire and Emergency Services,"$ 2,500,000.00 "
DoH2025CREST,Curtin Consumer-led Research Education and Support Training (CREST) Program Enhancement and Transition,Department of Health (Royal Street),"$ 149,781.00 "
DHW0743201422,Department of Education - Ngalapita Remote Community School Laundry,Department of Housing and Works,"$ 519,667.00 "
DHW0436425A,Department of Education - WA College Cunderdin - Dormitory Flooring Replacement,Department of Housing and Works,"$ 49,341.00 "
DHW0404925,Department of Education - Kent Street High School - Installation of 4x GLA Modular Classrooms with Associated Deck and Staircase,Department of Housing and Works,"$ 261,369.00 "
DHW0383625,Department of Education - Honeywood Primary School - Relocation of 1 x GLA Transportable Classrooms Including Associated Works,Department of Housing and Works,"$ 116,605.00 "
DPLH203025,"Groundwater Monitoring of Lot 810 Hepburn Avenue, Ballajura","Department of Planning, Lands and Heritage","$ 99,014.00 "
DPIRD2025101,Weaber Plain-Goomig groundwater modelling project,Department of Primary Industries and Regional Development,"$ 300,000.00 "
PROPTA25034,Malaga Bus Depot - CCTV Upgrade,Programmed Facility Management,"$ 129,581.00 "
PROMSA25126,Site Electrical Upgrade - Walliston Primary School,Programmed Facility Management,"$ 179,295.00 "
PTA251012,Fibre Optic Works - Radio Systems Replacement,Public Transport Authority,"$ 119,452.00 "
CAHS202515377,Specialised Solution Architecture Services,Child and Adolescent Health Service,"$ 680,223.00 "
DBCA752GT0162025,"Manufacture, Supply and Delivery of 90x Various Capacity Slip-on Fire Units","Department of Biodiversity, Conservation and Attractions","$ 1,679,605.00 "
ED252169,Natural Reticulated Gas Supply for Byford Secondary College (CUARGS2014),Department of Education,"$ 60,000.00 "
DWER202541735,Design and Construct 3 x (2 Bed x 1 Bath) Group Residential Dwellings at Lot 155 (4) Matterhorn Road Baldivis WA 6171,Department of Housing and Works,"$ 955,770.00 "
DHW9627225,"Design of 3 grouped dwellings at Lot 194 (7) Banks Street, Lockyer compromising of 3 x (2 bed x 1 bath) to Silver LHA Standard",Department of Housing and Works,"$ 21,750.00 "
DHW202541495,Design and Construct 10 x (2 Bed x 1 Bath) Grouped Residential Dwellings at Lot 10 (83) Gibson Way Beechboro WA 6063,Department of Housing and Works,"$ 3,681,224.00 "
DHW202541478,Design and Construct 3 x (2 Bed x 1 Bath) Grouped Residential Dwellings at Lot 468 (67) Vaughan Crescent Forrestdale WA 6112,Department of Housing and Works,"$ 1,127,902.00 "
DHW202541477,Design and Construct 3 x (2 Bed x 1 Bath) Grouped Residential Dwellings at Lot 154 (3) Trango Road Baldivis WA 6171,Department of Housing and Works,"$ 953,220.00 "
DHW0482325,Department of Primary Industries and Regional Development - State Biosecurity Response Centre - Superintendent Representative Consultant,Department of Housing and Works,"$ 303,704.00 "
DHW0372125,Department of Education - Karrinyup Primary School - Major Upgrade -Time Planning Services,Department of Housing and Works,"$ 62,617.00 "
DHW0319225,Department of Education - Wellard Village Primary School - Relocation of 2 x GLA Transportable Classroom and 1 x KPP Transportable Classroom including associated works,Department of Housing and Works,"$ 295,337.00 "
DHW0203525,Department of Education - Albany Senior High School - Biology Block Exterior Stone Wall Remediation - Areas 1 and 2 - Engineering Services,Department of Housing and Works,"$ 71,500.00 "
202540678,Construction of 4 - 1 Bed x 1 Bath Residential Dwellings at 33 Belgrade Road Wanneroo WA 6065,Department of Housing and Works,"$ 1,338,207.00 "
DPLH406225,Purchase of 50 notebook devices under CUACMD2021,"Department of Planning, Lands and Heritage","$ 102,388.00 "
DWER105725,Annual WasteSorted Awards Program,Department of Water and Environmental Regulation,"$ 127,101.00 "
MRWA0349240227,Provision of Temporary Personnel - RMO - Network Management - Asset Management Support,Main Roads Western Australia,"$ 92,524.00 "
MRWA0349240202,Provision of Temporary Personnel - Regional Management Operations - Plant Management Support,Main Roads Western Australia,"$ 61,806.00 "
MRWA009725,Procurement of a SenseHub Drone in a Box System,Main Roads Western Australia,"$ 133,960.00 "
MRWA001325,Provision of Smart Freeways Automatic Incident Detection Specialist Support Services,Main Roads Western Australia,"$ 173,853.00 "
PROPTA25032,D&C Internal Admin Upgrade - Malaga Bus Depot,Programmed Facility Management,"$ 404,383.00 "
PROPTA25030,Palmyra Lifting Service Bay,Programmed Facility Management,"$ 464,060.00 "
PROMSA25159,Electrical Upgrade - Ashfield Primary School,Programmed Facility Management,"$ 152,030.00 "
PTA250044,Supply and Maintentance of Mobile CCTV capabilities,Public Transport Authority,"$ 4,192,540.00 "
DBCA440CUA1022025,Supply and Delivery of MSA Flight Helmets under CUATAM2016,"Department of Biodiversity, Conservation and Attractions","$ 92,993.00 "
DOC202547018,Evaluation of the Choose Change Program,Department of Communities,"$ 159,225.00 "
DHW25021,Provision of Project and Change Manager under CUATPS2024,Department of Housing and Works,"$ 214,500.00 "
DHW202539367,"Design of 4 x (2 bed x 1 bath) Silver LHA & 3 x (2 bed x 1 bath) Gold LHS on Lot 12 (252) Middleton Road, Mira Mar",Department of Housing and Works,"$ 47,100.00 "
DHW0116124,Department of Primary Industries and Regional Development - DPIRD Broome Tropical Aquaculture Park Upgrades,Department of Housing and Works,"$ 1,040,574.00 "
DHW0112425F,Department of Education - 2025 Specialist Building Program - Construction of Four Home Economics buildings,Department of Housing and Works,"$ 3,317,554.00 "
DTF25001,"Design, Develop and Deliver Commissioning Training Sessions",Department of Treasury and Finance,"$ 290,280.00 "
DWER200324,Construction of Prefabricated River Monitoring Station,Department of Water and Environmental Regulation,"$ 235,703.00 "
DWER105625,Provision of One (1) ThermoFisher Scientific Model 1405DF Tapered Element Oscillating Microbalance (TEOM)-Ambient Particle Monitor,Department of Water and Environmental Regulation,"$ 91,025.00 "
EMHS202514764,HabitHack Content Management System,East Metropolitan Health Service,"$ 146,806.00 "
PRODOC25076,"Refurbishment - 35 Fane Crescent, Carnarvon",Programmed Facility Management,"$ 271,649.00 "
TWA2425168,Supply and Delivery of Tourism and Hospitality Schools Career Promotion Program 2025-2026,Western Australian Tourism Commission,"$ 150,000.00 "
CITS2587,Legal Services – NRL WACA Negotiations,"Department of Creative Industries, Tourism and Sport","$ 80,000.00 "
DHW202540675,"Construction of Lot 282 (31) Setosa Pass, Kununurra",Department of Housing and Works,"$ 763,578.00 "
DHW202540644,"Construction of Lot 280 (27) Setosa Pass, Kununurra",Department of Housing and Works,"$ 923,354.00 "
DHW202540640,Design and Construct 1 x (4 Bed x 2 Bath) Dwelling on Lot 293 (36) Zamia Link Kununurra WA 6743,Department of Housing and Works,"$ 923,354.00 "
DHW202540573,"Construction of Lot 285 (37) Setosa Pass, Kununurra",Department of Housing and Works,"$ 923,354.00 "
DHW202540566,"Construction of Lot 287 (41) Setosa Pass, Kununurra",Department of Housing and Works,"$ 923,354.00 "
DHW0411925T,North Metropolitan Health Service - SCGH - Maintenance,Department of Housing and Works,"$ 71,817.00 "
DHW0386025,Department of Education - North Albany Senior High School - Additions and Alterations - Election Commitment 2025 - Time Planning Services,Department of Housing and Works,"$ 129,283.00 "
DHW0374625,Department of Housing and Works - Various client agencies at various sites - Provision of routine maintenance,Department of Housing and Works,"$ 121,887.00 "
DHW0332625,"Department of Education - Leeman PS, Mingenew PS and Northampton DHS - Solar Upgrade Works - SCETF",Department of Housing and Works,"$ 67,533.00 "
DOJ202543944,Provision of Bus Feeder Service for Wooroloo Prison Farm,Department of Justice,"$ 221,247.00 "
LGIRS25335,Diploma of Government Investigations,"Department of Local Government, Industry Regulation and Safety","$ 57,800.00 "
DPIRD2025260,Customer Resolution Officer - Enterprise Information Management,Department of Primary Industries and Regional Development,"$ 180,070.00 "
DPIRD2025196,WebEOC Emergency Management System,Department of Primary Industries and Regional Development,"$ 298,462.00 "
DPC2325,Provision of an Employee Assistance Program,Department of the Premier and Cabinet,"$ 600,000.00 "
TWDC05762025,Provision of Mobile Services under CUATEL2021,Department of Training and Workforce Development (DTWD),"$ 60,912.00 "
DOT412325,User testing platform,Department of Transport and Major Infrastructure,"$ 271,730.00 "
LG02372025,Skyhigh SSE Essential Subscription Licences,Landgate,"$ 69,942.00 "
MRWA011925,Construction of Kerbing at Gibb Pentecost,Main Roads Western Australia,"$ 121,932.00 "
PROMSA25157,Replace Asbestos Cable Pitts,Programmed Facility Management,"$ 87,517.00 "
PROMSA25149,Metal Strip Ceiling Remediation Program - Kardinya Primary School,Programmed Facility Management,"$ 719,510.00 "
PROMSA25122,Mechanical Services Upgrade - Embleton PS & White Gum Valley PS,Programmed Facility Management,"$ 2,403,271.00 "
PROMSA25113,Clarkson CHS - Student Toilet Refurbishments,Programmed Facility Management,"$ 146,813.00 "
PRODOC25086,SM Refurbishment 4 Mitford Grove Port Kennedy WA,Programmed Facility Management,"$ 201,285.00 "
P24033A,Perth High Performance Centre - THAC Pools Remediation Works,VenuesWest,"$ 396,018.00 "
SMHS202515444,PHC Redevelopment functional brief development,South Metropolitan Health Service,"$ 165,000.00 "
CAHS202514953,CAHS Managed Print Service under HSS202311580,Child and Adolescent Health Service,"$ 7,550,000.00 "
DHW2025000449,Power Service connections to Lots 28 and 86 in Third Street - Warakurna Aboriginal Community,Department of Communities,"$ 74,683.00 "
DHW2025000448,"Procure power service connections for lots 15,370,371 and 135 in-Warburton Aboriginal Community",Department of Communities,"$ 108,438.00 "
DoH202514671,Cleaning Services for State Health Operations Centre (SHOC),Department of Health (Royal Street),"$ 803,869.00 "
DHW0470125,Department of Justice - West Kimberly Regional Prison Derby - Unit 4 Wet Well Pump Upgrade,Department of Housing and Works,"$ 73,062.00 "
DHW0470025,Department of Justice - West Kimberly Regional Prison Derby - Unit 1 Wet Well Pump Upgrade,Department of Housing and Works,"$ 73,062.00 "
DHW0416025,Department of Communities - Child Protection and Family Support - DCP Bunbury Office - Lighting Replacements & Upgrades,Department of Housing and Works,"$ 39,445.00 "
DHW0404825,Department of Education - Lathlain Primary School - Installation of 1x General Learning Area Modular Classroom with Associated Deck and Stairs,Department of Housing and Works,"$ 77,891.00 "
DHW0387025,Department of Education - Rossmoyne Senior High School - Installation of 2x General Learning Area (GLA) Modular Classroom with Associated Stairs,Department of Housing and Works,"$ 157,138.00 "
DHW0296325,Department of Education - Piara Waters Senior High School - Delivery and Installation of 7 x GLA Transportable Classrooms,Department of Housing and Works,"$ 394,253.00 "
DHW0112425E,Department of Education - 2025 Specialist Building Program - Construction of One STEM Building,Department of Housing and Works,"$ 865,150.00 "
DHW0112425D,Department of Education - 2025 Specialist Building Program - Construction of three Science buildings,Department of Housing and Works,"$ 1,894,129.00 "
DHW0112425C,Department of Education - 2025 Specialist Building Program - Construction of Three Science Buildings,Department of Housing and Works,"$ 1,894,129.00 "
DHW0112425B,Department of Education - 2025 Specialist Building Program - Construction of one Design and Technology (Metal) building,Department of Housing and Works,"$ 757,272.00 "
DHW0112425A,Department of Education - 2025 Specialist Building Program - Construction of three Design and Technology (Wood) buildings,Department of Housing and Works,"$ 2,176,930.00 "
DOJ202549662,Provision of Cleaning Services to Unit 18 Casuarina Prison on behalf of Banksia Hill Detention Centre,Department of Justice,"$ 251,298.00 "
DOT422522c038,"Removal and disposal of vessel ""Freya' from hardstand at Two Rocks Boat Lifting",Department of Transport and Major Infrastructure,"$ 13,041.00 "
DOT422522c037,"Immediate removal and disposal of vessel ""Seamental' (38145)",Department of Transport and Major Infrastructure,"$ 14,984.00 "
ERA2024210,PLEXOS Integrated Energy Model Software,Economic Regulation Authority,"$ 1,489,767.00 "
MRWA006425,Panel Contract for the Provision of Interim - Transport Portfolio Cultural Awareness Training,Main Roads Western Australia,"$ 247,777.00 "
MRWA006125,Supply Of Water Infrastructure for Ruby Plains Station -Tanami Road Upgrade Project - Kimberley Region,Main Roads Western Australia,"$ 137,412.00 "
PROMSA25139,Gym Roof Replacement - Lesmurdie Senior High School,Programmed Facility Management,"$ 339,430.00 "
PRODOC25075,"Refurbishment – 5 Bennett Street, Spalding",Programmed Facility Management,"$ 138,868.00 "
RQ322026,Supply & Installation of Synthetic Turf,Rottnest Island Authority,"$ 69,696.00 "
DBCA419WQ0962025,Building Demolition Denham,"Department of Biodiversity, Conservation and Attractions","$ 75,965.00 "
DOC202528612,Family and Domestic Violence Children and Young People Indigenous Healing Service,Department of Communities,"$ 1,320,000.00 "
ED251850,2026 French Exchange Tour for Rossmoyne Senior High School,Department of Education,"$ 127,420.00 "
DHW9626025,"Design and Construct of Lot 151 (19) Phyllis Street, Castletown",Department of Housing and Works,"$ 1,859,224.00 "
DHW9625925,"Design and Construct of Lot 206 (3) Marna Road, Onslow",Department of Housing and Works,"$ 1,042,145.00 "
DHW9625825,"Design and Construct of Lot 42 (10) Karinha Way, Baynton",Department of Housing and Works,"$ 992,241.00 "
DHW9625725,"Design of Construct of modular dwelling at Lot 27 (24) Karinha Way, Baynton",Department of Housing and Works,"$ 982,552.00 "
DHW9625625,"Design and Construct of Lot 24 (18) Karinha Way, Baynton",Department of Housing and Works,"$ 973,807.00 "
DHW0406425,Department of Education - Henley Brook Primary School - Installation of 2 GLA,Department of Housing and Works,"$ 147,660.00 "
DHW0142425,"Department of Training and Workforce Development - Additional Car Parking Bays - T Block, CR TAFE Kalgoorlie",Department of Housing and Works,"$ 178,711.00 "
LGIRS25465,Deputy Chair for the LGIRS Audit and Risk Committee,"Department of Local Government, Industry Regulation and Safety","$ 115,500.00 "
DPLH202125,"Real Estate Agency Services for the Sale of Riverbank Detention Centre, 130 Hamersley Road, Caversham","Department of Planning, Lands and Heritage","$ 64,726.00 "
TWDC05452025,Contract Management Improvement Project including Development of a Contract Management Framework,Department of Training and Workforce Development (DTWD),"$ 96,118.00 "
DWER105325,Consultant to develop and deliver a Strategic Intent Plan for the Pilbara Environmental Offsets Fund,Department of Water and Environmental Regulation,"$ 162,625.00 "
EMHS202514624,"Procurement Title
Hot Beverage Vending Machines EMHS Staff Only Areas and Supply of Commercial Coffee Machines, Associated Equipment and Coffee Products to RPH Retail Outlets",East Metropolitan Health Service,"$ 910,814.00 "
MRWA0156240002,"Substructure repairs on Bridges 0332, 0383 & 0729 - Wheatbelt Region",Main Roads Western Australia,"$ 1,444,190.00 "
PROMSA25150,Metal Strip Ceiling Remediation Program - Goollelal Primary School,Programmed Facility Management,"$ 485,513.00 "
PROMSA25123,Walliston PS - Re-Roofing and Associated Electrical Upgrade,Programmed Facility Management,"$ 743,177.00 "
PTA250010,On-Board Subject Matter Expert - High Capacity Signalling,Public Transport Authority,"$ 2,943,775.00 "
WACHS202515209,Provision of Waste Management for Carnarvon Health Campus,WA Country Health Service,"$ 210,470.00 "
WACHS202514936,"Refurbishment of Nurses Quarters, 19 Thomas Street, Three Springs",WA Country Health Service,"$ 1,581,191.00 "
ED252179,Electricity for Melville Primary School (CUAELC2012),Department of Education,"$ 93,849.00 "
DWH0411925Y,North Metropolitan Health Service - SCGH - Maintenance,Department of Housing and Works,"$ 924,742.00 "
DWH0411925V,North Metropolitan Health Service - SCGH - Maintenance,Department of Housing and Works,"$ 1,200,000.00 "
DHW0476225,Department of Education - Hedland Senior High School - RCD Rectification Works,Department of Housing and Works,"$ 125,143.00 "
DHW0411925X,North Metropolitan Health Service - SCGH - Maintenance,Department of Housing and Works,"$ 1,896,766.00 "
DHW0411925W,North Metropolitan Health Service - SCGH - Maintenance,Department of Housing and Works,"$ 156,390.00 "
DHW0411925U,North Metropolitan Health Service - SCGH - Maintenance,Department of Housing and Works,"$ 337,700.00 "
DHW0405225,Department of Education - Mount Pleasant Primary School - Installation of 1x modular classroom,Department of Housing and Works,"$ 84,285.00 "
DHW0384325,Department of Education - Shorehaven Primary School - Relocation and Installation of 2 x modular GLA classrooms,Department of Housing and Works,"$ 151,555.00 "
DOJ202549669,"Market Analysis of Existing Family, Domestic and Sexual Violence Victim-Survivor Justice System Navigator Services in Western Australia",Department of Justice,"$ 70,029.00 "
DOJ202543274,Review of the People Culture and Standards Delivery Model,Department of Justice,"$ 119,321.00 "
DPLH301125,"Asbestos Removal and Demolition at 16 Kennedy Court, Mount Magnet","Department of Planning, Lands and Heritage","$ 130,251.00 "
DPIRD2025248,RV Naturaliste Refrigeration & HVAC Works,Department of Primary Industries and Regional Development,"$ 162,585.00 "
DPIRD2025233,Cybersecurity Incident Response & Ransomware Backup Systems Resilience Testing,Department of Primary Industries and Regional Development,"$ 33,088.00 "
DOT413325,"Service Centres, Provision of Power Supplies",Department of Transport and Major Infrastructure,"$ 478,284.00 "
DOT408425,Design and Construction of East Street Jetty Fendering System Replacement,Department of Transport and Major Infrastructure,"$ 935,602.00 "
EMHS202515160,"RPH, R BLOCK LEVEL 0, LIGHTING UPGRADE",East Metropolitan Health Service,"$ 335,849.00 "
JN251035,LG01382023,Landgate,"$ 2,640.00 "
JN250743,LG01382023,Landgate,"$ 1,980.00 "
JN250407,LG01382023,Landgate,$ 990.00 
MRWA0040230027,Panel Contract for the Provision of Bitumen Sealing - Metropolitan Region,Main Roads Western Australia,"$ 1,401,958.00 "
ODPPADM2025349,Staff Augmentation - System Engineer - CUAICTS2021,Office of the Director of Public Prosecutions for WA,"$ 120,395.00 "
PROMSA25151,Airconditioning Upgrade South Ballajura Primary School,Programmed Facility Management,"$ 89,940.00 "
PROMSA25106,Pit Drainage Upgrade - Southern River Depot,Programmed Facility Management,"$ 169,300.00 "
SLWA25326LS054,Venue Booking System,State Library of Western Australia,"$ 141,184.00 "
WACHS202515071,"Provision of Maintenance, Servicing and breakdown repairs for Karratha Trane Chillers",WA Country Health Service,"$ 343,702.00 "
WAPOL02925,Supply and Delivery of Radio Communications Equipment,Western Australia Police Force,"$ 4,500,000.00 "
ED251944,2026 Student Travel to China for Rossmoyne Senior High School,Department of Education,"$ 149,240.00 "
ED251385,Audit of ICT Core Infrastructure – Asset Management (CUAAFA2024),Department of Education,"$ 56,515.00 "
DHW202540254,"Design and Construct of Lot 374 (19) Peak St, Drummond Cove",Department of Housing and Works,"$ 774,311.00 "
DHW202540253,"Design and construct of Lot 1380 (73) Ocean Queen Drive, Wandina",Department of Housing and Works,"$ 777,780.00 "
DHW202540252,"Design and Construct of Lot 1382 (69) Ocean Queen Drive, WANDINA",Department of Housing and Works,"$ 728,992.00 "
DHW202540239,"Design and Construct of Lot 1383 (67) Ocean Queen Drive, Wandina",Department of Housing and Works,"$ 778,537.00 "
DHW202539062,"Refurbishment and construction of LOT 245, 26 ISDELL PLACE GOSNELLS 6110",Department of Housing and Works,"$ 517,550.00 "
DHW0415225,Western Australian Police Force - Merredin Police Station - HVAC Replacement Works,Department of Housing and Works,"$ 159,990.00 "
DHW0406625,Department of Education - Pine View Primary School - Installation of 1 x GLA Transportable,Department of Housing and Works,"$ 140,579.00 "
DHW0381025,Department of Education - Baldivis Secondary College - Installation of 1x modular classroom,Department of Housing and Works,"$ 104,894.00 "
DHW0157925,Department of Education - Osborne Primary School - Relocation of 1 x GLA Transportable Classroom Including Associated Works,Department of Housing and Works,"$ 67,721.00 "
NMHS202514990,Swan General Dental Clinic - Air Conditioning Replacement,North Metropolitan Health Service,"$ 81,000.00 "
MW25044,Fire Penetration Remediation – E Block,North Metropolitan Health Service,"$ 142,890.00 "
IMT002,Reportable Conduct - Case Management System,Parliament Commissioner for Administrative Investigations,"$ 59,840.00 "
PTA251117,"Quantity Surveyor - Swanbourne SER, RSR Tower & Main Cable Route (MCR) Relocation Project.",Public Transport Authority,"$ 109,725.00 "
PF26003,Bendat Basketball Overflow Carpark-Design Planning,VenuesWest,"$ 55,043.00 "
ED252567,Electricity For East Waikiki,Department of Education,"$ 86,997.00 "
ED252073,Electricity for Ridge View Secondary College (CUAELC2012),Department of Education,"$ 355,182.00 "
DEED2526021,EPWA Contract Manager,Department of Energy and Economic Diversification,"$ 177,966.00 "
DFES244025,Supply and Delivery of Two (2) All Terrain Mower Slasher,Department of Fire and Emergency Services,"$ 152,020.00 "
DFES243825,Supply and Delivery of 8 Inch Woodchippers,Department of Fire and Emergency Services,"$ 225,225.00 "
DHW0387325,Department of Education - Jolimont Primary School - Installation of 1x modular classroom,Department of Housing and Works,"$ 84,188.00 "
DHW0202825,Department of Education - Karratha Senior High School - Major Upgrade - WA Recovery,Department of Housing and Works,"$ 339,210.00 "
DHW0193125,Department of Education - Hedland Senior High School - Switchboards Replacement Works,Department of Housing and Works,"$ 434,373.00 "
LGIRS25462,CITS - LGRGL Data Migration,"Department of Local Government, Industry Regulation and Safety","$ 113,646.00 "
LGIRS25442,Legal Support Officer,"Department of Mines, Petroleum and Exploration","$ 101,627.00 "
TWDE05322025,"Nursing Anne Simulator Patient Manikins for North Regional TAFE (NRT), Pundulmurra Campus",Department of Training and Workforce Development (DTWD),"$ 433,840.00 "
DTMI422025,L6 Commercial Property Manager - Brad Ross 10.11.2025 - 31.03.2026,Department of Transport and Major Infrastructure,"$ 80,174.00 "
DOT405025,Westport Stakeholder Relationship Management Tool,Department of Transport and Major Infrastructure,"$ 1,450,411.00 "
DWER305425,Temporary Personnel - Information Management Officer,Department of Water and Environmental Regulation,"$ 70,000.00 "
DWER103925,Seagrass Monitoring Services of Cockburn Sound,Department of Water and Environmental Regulation,"$ 214,524.00 "
EMHS202514535,"Routine Maintenance for Boilers, Deaerators, Economisers and Blowdown Vessel at Royal Perth Hospital (RPH) - East Metropolitan Health Service (EMHS)",East Metropolitan Health Service,"$ 956,005.00 "
MRWA0349240127,Provision of Temporary Personnel - Network Inspector - Metropolitan Region,Main Roads Western Australia,"$ 1,602,515.00 "
MHC2024082,"Provision of Program Coordinator Services for the Youth Psychosocial Support Packages Program, Youth Transitional Housing and Support Packages Program and Individualised Community Living Strategy Prog",Mental Health Commission,"$ 1,201,585.00 "
NMHS202515322,"Supply, Delivery, Commissioning and Post-warranty Service and Maintenance of one (1) Medistim MiraQ Cardiac for Sir Charles Gairdner Osborne Park Health Care Group",North Metropolitan Health Service,"$ 234,545.00 "
PROMSA25104,Refurbish Up-to 11 Houses - Boronia Pre-Release Centre for Women,Programmed Facility Management,"$ 374,027.00 "
PRODOC25082,PB Kitchen Refurbishments DOHW Nominated Sites Karratha,Programmed Facility Management,"$ 102,404.00 "
SMHS202515328,"Fabrication of dentures, crowns, bridges, radiographic guides and other dental prostheses and appliances",South Metropolitan Health Service,"$ 434,400.00 "
SMHS202515241,SMHS Mental Health – Australian Council on Healthcare Standards (ACHS) Membership,South Metropolitan Health Service,"$ 178,840.00 "
ED240232,Provision of Mowing and Turf Related Services to Public Schools in Karratha,Department of Education,"$ 1,745,013.00 "
DBCA412WT0052025A,Fencing Works - Talison Offset Reserve,"Department of Biodiversity, Conservation and Attractions","$ 132,139.00 "
DOC202557257,develop a preferred implementation approach for the CRARMF and AFVRAT,Department of Communities,"$ 55,000.00 "
ED252175,Electricity for Eden Holl Primary School (CUAELC2012),Department of Education,"$ 77,887.00 "
DHW0424125,Department of Education - Manjimup Primary School - Supply & Install Flotex Carpet Covered Assembly,Department of Housing and Works,"$ 108,165.00 "
DHW0383925,Department of Education - Beechboro Primary School - Relocation of 1 x GLA Transportable Classroom including associated works,Department of Housing and Works,"$ 86,605.00 "
DHW0383525,Department of Education - Halls Head Education Support Centre - Relocation of 1 x GLA Transportable Classroom including associated works,Department of Housing and Works,"$ 84,255.00 "
DHW0111925,Various Agencies - Various Sites - Kimberley - Provision of Routine Maintenance for Fire Detection and Protection Equipment,Department of Housing and Works,"$ 2,463,203.00 "
DOT416325,Westport Heritage Approvals Management,Department of Transport and Major Infrastructure,"$ 175,813.00 "
EMHS202515243,Supply of two Endoscopy drying and storage equipment and optional service and maintenance for Theatre and Gastroenterology and Endoscopy Department at RPH,East Metropolitan Health Service,"$ 159,860.00 "
EMHS202515140,D Block Level 2 Bathroom and Changeroom Refurbishment and Level 1 Bathroom Facilities Creation at Royal Perth Hospital (RPH),East Metropolitan Health Service,"$ 238,915.00 "
